Engine type,Pollutant,Emission standard,Vmin,Vmax,a5,a4,a3,a2,a1,a0
2-Stroke,CO,Conventional,0,100,-1.63E-008,5.16E-006,-6.48E-004,4.40E-002,-1.52,3.60E+001
2-Stroke,CO,Euro 1,0,100,-1.08E-008,3.41E-006,-4.28E-004,2.90E-002,-1.003,2.37E+001
2-Stroke,CO,Euro 2,0,100,-8.50E-009,2.68E-006,-3.36E-004,2.28E-002,-7.91E-001,1.88E+001
2-Stroke,CO,Euro 3,0,100,-4.82E-009,1.52E-006,-1.90E-004,1.29E-002,-4.43E-001,1.04E+001
2-Stroke,NOx,Conventional,0,100,-3.50E-010,1.00E-007,-1.07E-005,5.28E-004,-1.16E-002,1.13E-001
2-Stroke,NOx,Euro 1,0,100,-3.04E-011,7.96E-009,-8.28E-007,4.68E-005,-1.23E-003,5.04E-002
2-Stroke,NOx,Euro 2,0,100,-2.25E-010,6.64E-008,-7.40E-006,3.86E-004,-9.02E-003,1.17E-001
2-Stroke,NOx,Euro 3,0,100,-1.74E-011,1.09E-008,-1.87E-006,1.30E-004,-3.54E-003,4.97E-002
2-Stroke,HC,Conventional,0,100,-1.38E-008,4.71E-006,-6.42E-004,4.57E-002,-1.75E+000,3.56E+001
2-Stroke,HC,Euro 1,0,100,-3.15E-009,1.11E-006,-1.59E-004,1.25E-002,-5.22E-001,1.12E+001
2-Stroke,HC,Euro 2,0,100,-1.58E-009,5.59E-007,-8.08E-005,6.43E-003,-2.73E-001,5.90E+000
2-Stroke,HC,Euro 3,0,100,-1.10E-009,3.84E-007,-5.45E-005,4.23E-003,-1.75E-001,3.72E+000
2-Stroke,PM,Conventional,10,100,0,0,0,0,0,2.00E-001
2-Stroke,PM,Euro 1,10,100,0,0,0,0,0,8.00E-002
2-Stroke,PM,Euro 2,10,100,0,0,0,0,0,4.00E-002
2-Stroke,PM,Euro 3,10,100,0,0,0,0,0,1.20E-002
2-Stroke,FC,Conventional,0,100,-3.44E-008,1.15E-005,-1.54E-003,1.10E-001,-4.08E+000,8.79E+001
2-Stroke,FC,Euro 1,0,100,-3.17E-008,1.06E-005,-1.42E-003,1.01E-001,-3.76E+000,8.11E+001
2-Stroke,FC,Euro 2,0,100,-3.17E-008,1.06E-005,-1.42E-003,1.01E-001,-3.76E+000,8.11E+001
2-Stroke,FC,Euro 3,0,100,-3.17E-008,1.06E-005,-1.42E-003,1.01E-001,-3.76E+000,8.11E+001
4-Stroke < 250,CO,Conventional,0,100,-1.37E-008,4.66E-006,-6.36E-004,4.69E-002,-1.79E+000,4.21E+001
4-Stroke < 250,CO,Euro 1,0,100,-1.39E-008,4.27E-006,-5.16E-004,3.46E-002,-1.19E+000,2.62E+001
4-Stroke < 250,CO,Euro 2,0,100,-7.28E-009,2.33E-006,-3.04E-004,2.13E-002,-7.28E-001,1.30E+001
4-Stroke < 250,CO,Euro 3,0,100,-4.02E-009,1.28E-006,-1.67E-004,1.17E-002,-4.01E-001,7.18E+000
4-Stroke < 250,NOx,Conventional,0,100,-4.60E-010,1.37E-007,-1.54E-005,8.23E-004,-1.70E-002,3.48E-001
4-Stroke < 250,NOx,Euro 1,0,100,-7.08E-010,2.10E-007,-2.35E-005,1.24E-003,-2.63E-002,4.37E-001
4-Stroke < 250,NOx,Euro 2,0,100,-3.89E-010,1.14E-007,-1.28E-005,7.34E-004,-1.90E-002,4.01E-001
4-Stroke < 250,NOx,Euro 3,0,100,-1.95E-010,6.01E-008,-6.86E-006,4.08E-004,-1.09E-002,3.19E-001
4-Stroke < 250,HC,Conventional,0,100,-8.35E-010,3.32E-007,-5.39E-005,4.66E-003,-2.17E-001,5.16E+000
4-Stroke < 250,HC,Euro 1,0,100,-7.56E-010,2.84E-007,-4.29E-005,3.41E-003,-1.47E-001,3.54E+000
4-Stroke < 250,HC,Euro 2,0,100,-7.00E-010,2.35E-007,-3.12E-005,2.09E-003,-7.21E-002,1.46E+000
4-Stroke < 250,HC,Euro 3,0,100,-4.74E-010,1.60E-007,-2.12E-005,1.41E-003,-4.81E-002,9.39E-001
4-Stroke < 250,PM,Conventional,10,100,0,0,0,0,0,2.00E-002
4-Stroke < 250,PM,Euro 1,10,100,0,0,0,0,0,2.00E-002
4-Stroke < 250,PM,Euro 2,10,100,0,0,0,0,0,5.00E-003
4-Stroke < 250,PM,Euro 3,10,100,0,0,0,0,0,5.00E-003
4-Stroke < 250,FC,Conventional,0,100,-4.68E-008,1.50E-005,-1.89E-003,1.21E-001,-3.86E+000,7.57E+001
4-Stroke < 250,FC,Euro 1,0,100,-3.84E-008,1.23E-005,-1.55E-003,9.91E-002,-3.17E+000,6.23E+001
4-Stroke < 250,FC,Euro 2,0,100,-3.42E-008,1.11E-005,-1.43E-003,9.27E-002,-3.05E+000,5.93E+001
4-Stroke < 250,FC,Euro 3,0,100,-3.42E-008,1.11E-005,-1.43E-003,9.27E-002,-3.05E+000,5.93E+001
4-Stroke 250-750,CO,Conventional,0,140,-9.99E-009,4.37E-006,-7.40E-004,6.30E-002,-2.68E+000,6.40E+001
4-Stroke 250-750,CO,Euro 1,0,140,-1.22E-008,4.83E-006,-6.90E-004,4.58E-002,-1.49E+000,2.99E+001
4-Stroke 250-750,CO,Euro 2,0,140,-2.02E-010,3.31E-007,-7.18E-005,7.73E-003,-4.02E-001,9.72E+000
4-Stroke 250-750,CO,Euro 3,0,140,-1.19E-010,1.85E-007,-3.99E-005,4.28E-003,-2.22E-001,5.36E+000
4-Stroke 250-750,NOx,Conventional,0,140,5.33E-010,-1.66E-007,1.91E-005,-9.30E-004,2.02E-002,8.54E-002
4-Stroke 250-750,NOx,Euro 1,0,140,6.46E-011,-1.74E-008,1.41E-006,1.98E-005,-1.79E-003,2.45E-001
4-Stroke 250-750,NOx,Euro 2,0,140,-9.30E-012,5.28E-009,-1.05E-006,1.39E-004,-6.92E-003,1.86E-001
4-Stroke 250-750,NOx,Euro 3,0,140,-1.93E-011,8.17E-009,-1.30E-006,1.18E-004,-4.82E-003,1.07E-001
4-Stroke 250-750,HC,Conventional,0,140,-7.76E-010,3.62E-007,-6.49E-005,5.79E-003,-2.81E-001,7.66E+000
4-Stroke 250-750,HC,Euro 1,0,140,-4.12E-010,1.88E-007,-3.28E-005,2.90E-003,-1.40E-001,3.95E+000
4-Stroke 250-750,HC,Euro 2,0,140,-2.25E-010,1.01E-007,-1.69E-005,1.44E-003,-6.51E-002,1.75E+000
4-Stroke 250-750,HC,Euro 3,0,140,-1.18E-010,5.44E-008,-9.25E-006,8.12E-004,-3.81E-002,1.06E+000
4-Stroke 250-750,PM,Conventional,10,110,0,0,0,0,0,2.00E-002
4-Stroke 250-750,PM,Euro 1,10,110,0,0,0,0,0,2.00E-002
4-Stroke 250-750,PM,Euro 2,10,110,0,0,0,0,0,5.00E-003
4-Stroke 250-750,PM,Euro 3,10,110,0,0,0,0,0,5.00E-003
4-Stroke 250-750,FC,Conventional,0,140,-1.60E-008,6.94E-006,-1.15E-003,9.55E-002,-3.98E+000,1.02E+002
4-Stroke 250-750,FC,Euro 1,0,140,-1.23E-008,5.43E-006,-9.26E-004,8.06E-002,-3.52E+000,9.25E+001
4-Stroke 250-750,FC,Euro 2,0,140,-1.23E-008,5.41E-006,-9.14E-004,7.82E-002,-3.33E+000,8.51E+001
4-Stroke 250-750,FC,Euro 3,0,140,-1.23E-008,5.41E-006,-9.14E-004,7.82E-002,-3.33E+000,8.51E+001
4-Stroke > 750,CO,Conventional,0,140,-9.99E-009,4.37E-006,-7.40E-004,6.30E-002,-2.68E+000,6.40E+001
4-Stroke > 750,CO,Euro 1,0,140,-1.22E-008,4.83E-006,-6.90E-004,4.58E-002,-1.49E+000,2.99E+001
4-Stroke > 750,CO,Euro 2,0,140,-2.02E-010,3.31E-007,-7.18E-005,7.73E-003,-4.02E-001,9.72E+000
4-Stroke > 750,CO,Euro 3,0,140,-1.19E-010,1.85E-007,-3.99E-005,4.28E-003,-2.22E-001,5.36E+000
4-Stroke > 750,NOx,Conventional,0,140,1.35E-010,-5.13E-008,7.64E-006,-4.64E-004,1.14E-002,3.94E-002
4-Stroke > 750,NOx,Euro 1,0,140,-3.49E-011,1.24E-008,-1.99E-006,2.36E-004,-1.10E-002,3.06E-001
4-Stroke > 750,NOx,Euro 2,0,140,1.48E-011,-3.65E-009,2.88E-007,9.91E-005,-8.52E-003,2.75E-001
4-Stroke > 750,NOx,Euro 3,0,140,2.88E-012,2.56E-010,-2.09E-007,7.75E-005,-5.27E-003,1.53E-001
4-Stroke > 750,HC,Conventional,0,140,-7.48E-010,3.30E-007,-5.68E-005,5.17E-003,-2.65E-001,7.69E+000
4-Stroke > 750,HC,Euro 1,0,140,-6.34E-010,2.94E-007,-5.15E-005,4.48E-003,-2.05E-001,4.74E+000
4-Stroke > 750,HC,Euro 2,0,140,-2.98E-010,1.46E-007,-2.59E-005,2.24E-003,-9.62E-002,1.97E+000
4-Stroke > 750,HC,Euro 3,0,140,-1.96E-010,9.43E-008,-1.65E-005,1.41E-003,-6.00E-002,1.22E+000
4-Stroke > 750,PM,Conventional,10,110,0,0,0,0,0,2.00E-002
4-Stroke > 750,PM,Euro 1,10,110,0,0,0,0,0,2.00E-002
4-Stroke > 750,PM,Euro 2,10,110,0,0,0,0,0,5.00E-003
4-Stroke > 750,PM,Euro 3,10,110,0,0,0,0,0,5.00E-003
4-Stroke > 750,FC,Conventional,0,140,-1.82E-008,7.98E-006,-1.35E-003,1.14E-001,-4.82E+000,1.21E+002
4-Stroke > 750,FC,Euro 1,0,140,-1.78E-008,7.81E-006,-1.33E-003,1.13E-001,-4.87E+000,1.23E+002
4-Stroke > 750,FC,Euro 2,0,140,-1.83E-008,8.05E-006,-1.36E-003,1.16E-001,-4.94E+000,1.21E+002
4-Stroke > 750,FC,Euro 3,0,140,-1.83E-008,8.05E-006,-1.36E-003,1.16E-001,-4.94E+000,1.21E+002
